=== UALBF Engine Trace Log: Run Started at Fri Mar 20 22:12:17 2026 ===
   Compiling ualbf_engine v0.1.0 (/Volumes/ExternalSSD/code/quasipolynomials/ualbf-project/rust-engine)
    Finished `release` profile [optimized] target(s) in 1.95s
     Running `target/release/ualbf_engine`
=== UALBF Engine Initializing ===
Target Bound: N > 10^50
PROGRESS|PHASE|1|Legendre-Cattaneo Sieve
PROGRESS|UPDATE|100|5133|Evaluating prime 389
PROGRESS|UPDATE|200|5133|Evaluating prime 883
PROGRESS|UPDATE|300|5133|Evaluating prime 1327
PROGRESS|UPDATE|400|5133|Evaluating prime 23173
PROGRESS|UPDATE|500|5133|Evaluating prime 4999
PROGRESS|UPDATE|600|5133|Evaluating prime 2683
PROGRESS|UPDATE|700|5133|Evaluating prime 5507
PROGRESS|UPDATE|800|5133|Evaluating prime 5861
PROGRESS|UPDATE|900|5133|Evaluating prime 6197
PROGRESS|UPDATE|1000|5133|Evaluating prime 6353
PROGRESS|UPDATE|1100|5133|Evaluating prime 3779
PROGRESS|UPDATE|1200|5133|Evaluating prime 17189
PROGRESS|UPDATE|1300|5133|Evaluating prime 4111
PROGRESS|UPDATE|1400|5133|Evaluating prime 7349
PROGRESS|UPDATE|1500|5133|Evaluating prime 26437
PROGRESS|UPDATE|1600|5133|Evaluating prime 11519
PROGRESS|UPDATE|1700|5133|Evaluating prime 11813
PROGRESS|UPDATE|1800|5133|Evaluating prime 30133
PROGRESS|UPDATE|1900|5133|Evaluating prime 30197
PROGRESS|UPDATE|2000|5133|Evaluating prime 24007
PROGRESS|UPDATE|2100|5133|Evaluating prime 25867
PROGRESS|UPDATE|2200|5133|Evaluating prime 20477
PROGRESS|UPDATE|2300|5133|Evaluating prime 27241
PROGRESS|UPDATE|2400|5133|Evaluating prime 27437
PROGRESS|UPDATE|2500|5133|Evaluating prime 24517
PROGRESS|UPDATE|2600|5133|Evaluating prime 37039
PROGRESS|UPDATE|2700|5133|Evaluating prime 15277
PROGRESS|UPDATE|2800|5133|Evaluating prime 13907
PROGRESS|UPDATE|2900|5133|Evaluating prime 14407
PROGRESS|UPDATE|3000|5133|Evaluating prime 33029
PROGRESS|UPDATE|3100|5133|Evaluating prime 27919
PROGRESS|UPDATE|3200|5133|Evaluating prime 15973
PROGRESS|UPDATE|3300|5133|Evaluating prime 37699
PROGRESS|UPDATE|3400|5133|Evaluating prime 16189
PROGRESS|UPDATE|3500|5133|Evaluating prime 28349
PROGRESS|UPDATE|3600|5133|Evaluating prime 19237
PROGRESS|UPDATE|3700|5133|Evaluating prime 19739
PROGRESS|UPDATE|3800|5133|Evaluating prime 33857
PROGRESS|UPDATE|3900|5133|Evaluating prime 38113
PROGRESS|UPDATE|4000|5133|Evaluating prime 35153
PROGRESS|UPDATE|4100|5133|Evaluating prime 35509
PROGRESS|UPDATE|4200|5133|Evaluating prime 44971
PROGRESS|UPDATE|4300|5133|Evaluating prime 38833
PROGRESS|UPDATE|4400|5133|Evaluating prime 46877
PROGRESS|UPDATE|4500|5133|Evaluating prime 39181
PROGRESS|UPDATE|4600|5133|Evaluating prime 45341
PROGRESS|UPDATE|4700|5133|Evaluating prime 47129
PROGRESS|UPDATE|4800|5133|Evaluating prime 40933
PROGRESS|UPDATE|4900|5133|Evaluating prime 47947
PROGRESS|UPDATE|5000|5133|Evaluating prime 46049
PROGRESS|UPDATE|5100|5133|Evaluating prime 49741
Retained: 2582, Pruned: 17946
PROGRESS|PHASE|2|Fused DFS Construction & Ray-Casting
PROGRESS|UPDATE|1000|6719|Processed 1000 prefixes...
PROGRESS|UPDATE|2000|16253|Processed 2000 prefixes...
PROGRESS|UPDATE|3000|36484|Processed 3000 prefixes...
PROGRESS|UPDATE|4000|47836|Processed 4000 prefixes...
PROGRESS|UPDATE|5000|60244|Processed 5000 prefixes...
PROGRESS|UPDATE|6000|74411|Processed 6000 prefixes...
PROGRESS|UPDATE|7000|90038|Processed 7000 prefixes...
PROGRESS|UPDATE|8000|105134|Processed 8000 prefixes...
PROGRESS|UPDATE|9000|122214|Processed 9000 prefixes...
PROGRESS|UPDATE|10000|138830|Processed 10000 prefixes...
PROGRESS|UPDATE|11000|154655|Processed 11000 prefixes...
PROGRESS|UPDATE|12000|171542|Processed 12000 prefixes...
PROGRESS|UPDATE|13000|188209|Processed 13000 prefixes...
PROGRESS|UPDATE|14000|201221|Processed 14000 prefixes...
PROGRESS|UPDATE|15000|217607|Processed 15000 prefixes...
PROGRESS|UPDATE|16000|233045|Processed 16000 prefixes...
PROGRESS|UPDATE|17000|248381|Processed 17000 prefixes...
PROGRESS|UPDATE|18000|263043|Processed 18000 prefixes...
PROGRESS|UPDATE|19000|279596|Processed 19000 prefixes...
PROGRESS|UPDATE|20000|295321|Processed 20000 prefixes...
PROGRESS|UPDATE|21000|307898|Processed 21000 prefixes...
PROGRESS|UPDATE|22000|321544|Processed 22000 prefixes...
PROGRESS|UPDATE|23000|335076|Processed 23000 prefixes...
PROGRESS|UPDATE|24000|351508|Processed 24000 prefixes...
PROGRESS|UPDATE|25000|366923|Processed 25000 prefixes...
PROGRESS|UPDATE|26000|381486|Processed 26000 prefixes...
PROGRESS|UPDATE|27000|395553|Processed 27000 prefixes...
PROGRESS|UPDATE|28000|410444|Processed 28000 prefixes...
PROGRESS|UPDATE|29000|423930|Processed 29000 prefixes...
PROGRESS|UPDATE|30000|436910|Processed 30000 prefixes...
PROGRESS|UPDATE|31000|450480|Processed 31000 prefixes...
